CDSEXE,MTREV,NBENF,CDSITFAM,DTADH,CDTMT,CDCATCL,AGEAD,adh,CATAGEAD,CATadh,is_adh
2,0,0,A,1985-03-20,0,21,26,14,21_30,11_20,demissionnaire
3,0,0,A,2002-09-13,0,21,44,3,41_50,0_10,demissionnaire
2,0,0,A,1984-09-19,0,21,37,21,31_40,21_30,demissionnaire
2,0,0,C,1991-06-04,2,10,27,16,21_30,11_20,adherent
3,0,0,C,1992-09-09,0,21,29,12,21_30,11_20,demissionnaire
2,0,0,A,1980-12-08,2,21,41,19,41_50,11_20,demissionnaire
2,0,0,A,1987-12-01,0,21,29,12,21_30,11_20,demissionnaire
3,1520,enfants,D,1981-11-30,0,21,28,24,21_30,21_30,demissionnaire
4,0,0,C,1996-09-03,0,10,26,11,21_30,11_20,adherent
4,1504,0,U,2002-06-06,0,21,33,2,31_40,0_10,demissionnaire
4,0,0,C,1995-10-11,0,21,21,8,21_30,0_10,demissionnaire
3,0,0,M,1975-06-19,2,10,36,32,31_40,31_40,adherent
3,0,0,A,1980-01-14,0,10,39,27,31_40,21_30,adherent
3,0,enfants,D,2004-04-16,2,10,31,3,31_40,0_10,adherent
3,0,0,A,1989-03-10,0,21,37,14,31_40,11_20,demissionnaire
2,0,0,M,1982-11-24,0,21,33,24,31_40,21_30,demissionnaire
3,0,0,M,2005-04-22,0,21,30,1,21_30,0_10,demissionnaire
3,0,enfants,M,1997-04-24,0,21,25,8,21_30,0_10,demissionnaire
2,2870,enfants,U,1997-03-28,2,10,46,10,41_50,0_10,adherent
2,0,0,A,1983-07-26,0,10,28,24,21_30,21_30,adherent
3,0,0,A,1975-12-05,0,21,51,28,51_60,21_30,demissionnaire
2,1400,0,C,2005-08-19,2,10,24,2,21_30,0_10,adherent
3,0,0,M,1979-03-07,0,21,45,26,41_50,21_30,demissionnaire
